morphemes,count
сахар,38
сих,38
фос,38
пах,38
шнур,37
oк,37
хмел,37
спор,37
cтв,37
літт,37
слів,37
клуб,37
товар,37
раж,37
кристал,37
мар,37
тін,37
ад,37
порош,37
прас,37
страш,37
прох,37
вогн,37
екс,37
п'ян,37
скал,37
уванн,37
організ,37
сліп,37
льод,37
тіп,37
пін,37
їзм,36
пед,36
комплект,36
волоч,36
шовк,36
крик,36
лет,36
фоб,36
свин,36
морож,36
мост,36
стал,36
icт,36
зрі,36
ос,36
ощ,36
економ,36
корч,36
поган,36
псевдо,36
ах,36
кап,36
дерм,36
брод,36
струн,36
тисяч,36
міл,36
гід,35
агро,35
кіль,35
актив,35
астро,35
ис,35
бризк,35
шліф,35
сніг,35
інь,35
озн,35
приск,35
миг,35
сін,35
давн,35
слон,35
дроб,35
полон,35
двиг,35
динам,35
гвинч,35
струм,35
морд,35
нищ,35
юват,35
жа,35
єдн,35
віщ,35
травл,35
онім,35
нітр,35
стос,35
печ,35
смуг,35
прош,35
чах,35
цок,34
йк,34
плес,34
трон,34
сич,34
пiд,34
контр,34
холодж,34
мащ,34
гладж,34
сейсм,34
генер,34
двор,34
купл,34
дрім,34
хлоп,34
коло,34
безпеч,34
певн,34
тух,34
дцят,34
матер,34
проф,33
м'яс,33
гид,33
прос,33
івк,33
спектр,33
горл,33
мерк,33
штукатур,33
кільк,33
чіп,33
пущ,33
курс,33
гав,33
мац,33
ріш,33
лущ,33
тя,33
рентген,33
шмат,33
уз,33
маст,33
геліо,33
плазм,33
шморг,33
ди,33
бенз,33
мач,33
тріск,33
мід,33
хмур,33
стромл,33
лиг,33
туман,33
колот,32
дму,32
худ,32
прощ,32
ніч,32
соф,32
фраз,32
норм,32
со,32
філь,32
хор,32
лоб,32
прия,32
фіт,32
пр,32
вадж,32
стіб,32
ї,32
заліз,32
чис,32
бавовн,32
твердж,32
ильн,32
гальван,32
сіль,32
iв,32
склер,32
косм,32
трач,32
пук,32
тел,32
ональ,32
сульф,32
щеп,32
вовн,32
кер,32
дорож,32
руй,32
стрі,32
іан,31
ваб,31
унок,31
слин,31
ляк,31
блуд,31
бок,31
гармон,31
мороч,31
гвинт,31
колис,31
огн,31
мног,31
суб,31
шпил,31
сис,31
орган,31
пиш,31
корм,31
судж,31
лук,31
кост,31
верб,31
кляк,31
чорт,31
камян,31
барв,31
лиш,31
хоч,31
багр,31
гpaд,31
хот,31
груп,31
гост,31
троф,31
бас,31
гур,31
iзо,31
аш,31
корін,31
слиз,30
воль,30
блід,30
тас,30
ремонт,30
ізол,30
ном,30
кле,30
арх,30
драп,30
цяць,30
характер,30
гаряч,30
тор,30
пoг,30
шарп,30
кіло,30
шкур,30
хвил,30
подоб,30
фаз,30
сирот,30
макро,30
щад,30
тіс,30
плям,30
говір,30
вело,30
пруж,30
сидж,30
бактер,30
любл,30
англ,30
юр,29
крит,29
будж,29
гетеро,29
громад,29
вес,29
голош,29
ош,29
гурт,29
гeo,29
фікс,29
жад,29
ряб,29
вик,29
ображ,29
мобіл,29
,29
харч,29
тупл,29
бат,29
іж,29
лас,29
дід,29
волож,29
праць,29
скот,29
сім,29
їс,29
поро,29
покій,29
тн,29
лап,29
соч,29
лют,29
чепур,29
чеп,29
щас,29
гойд,29
кант,29
мий,29
шахр,28
омл,28
мірк,28
хвост,28
квап,28
весн,28
гуд,28
жин,28
шал,28
дав,28
толоч,28
ого,28
жур,28
льот,28
шифр,28
боч,28
прод,28
бв,28
лак,28
ко,28
луск,28
ятин,28
квас,28
кривл,28
шпиг,28
лл,28
автомат,28
лих,28
сват,28
чиц,28
рок,28
транс,28
взаєм,28
ноч,28
славл,28
ушк,28
пери,28
тісн,28
гiдp,28
боя,28
щіль,28
нюх,28
паруб,27
ель,27
годж,27
бряз,27
судн,27
ламп,27
аз,27
дерн,27
стрел,27
квартир,27
ющ,27
чух,27
сьорб,27
щуп,27
ююч,27
піро,27
няк,27
нож,27
стін,27
рев,27
жін,27
п'я,27
патрі,27
щир,27
маск,27
гуль,27
слов'ян,27
різь,27
зр,27
атом,27
спирт,27
йом,27
фіто,27
жарт,27
шик,27
тороч,27
глух,27
стереж,27
ящ,27
промін,27
кум,27
полох,27
студ,27
каліч,27
край,27
скреб,27
гомо,27
дійсн,27
волод,27
скрип,27
бі,27
году,26
букс,26
бар,26
мут,26
нерв,26
ціль,26
магнет,26
колос,26
транспорт,26
щиц,26
порт,26
штоп,26
сяк,26
воск,26
кіс,26
кваш,26
промен,26
шип,26
пись,26
камер,26
торох,26
стеж,26
вa,26
паш,26
сь,26
книг,26
пудр,26
дон,26
цинк,26
дощ,26
супер,26
кля,26
чук,26
тлум,26
проект,26
теч,26
шкод,26
програм,26
'я,26
сніж,26
бібліо,26
біс,26
водж,26
рж,26
клімат,26
вві,26
мотив,26
гріш,26
вібр,26
янк,26
вечір,26
смаг,26
після,26
морг,26
вірч,26
скуп,26
куб,26
ован,26
злид,25
факт,25
поліск,25
тиш,25
місяч,25
фільм,25
хорон,25
iй,25
гнів,25
досконал,25
хоп,25
хрещ,25
кліт,25
ендо,25
рум'ян,25
кал,25
aepo,25
чк,25
дір,25
вад,25
чухр,25
волок,25
волік,25
началь,25
щепл,25
діт,25
цідж,25
уві,25
хрум,25
школ,25
жебр,25
пi,25
пай,25
спіль,25
образ,25
буряк,25
клю,25
кучер,25
кльов,25
корист,25
бруд,25
ворк,25
апарат,25
смут,25
лін,25
кущ,25
іскр,25
фрез,25
диб,25
лупл,25
сн,25
скоч,25
ієв,25
бріх,25
гля,25
брук,25
ліній,25
держав,25
слідж,25
сміл,25
трамб,25
шпур,24
хльост,24
штрик,24
лагод,24
пост,24
вузь,24
глибл,24
брид,24
піч,24
реформ,24
гip,24
забу,24
яг,24
гемо,24
кашл,24
вагон,24
плюс,24
колих,24
плюск,24
стено,24
поль,24
xiм,24
пуч,24
один,24
лин,24
кас,24
стид,24
скіп,24
скобл,24
токс,24
вой,24
пошт,24
там,24
комбін,24
гай,24
моло,24
муз,24
черк,24
муш,24
копт,23
голод,23
ближ,23
луз,23
юш,23
солом,23
кух,23
бюро,23
торк,23
морщ,23
oв,23
палах,23
тич,23
хроп,23
демо,23
чол,23
короч,23
плот,23
продукт,23
арій,23
кір,23
човг,23
вірш,23
злот,23
двір,23
україн,23
драз,23
мис,23
тушк,23
маш,23
плю,23
овий,23
хож,23
картопл,23
сором,23
пуд,23
христ,23
івл,23
антроп,23
едр,23
тороп,23
фабрик,23
хазяй,23
свар,23
колін,23
пест,23
команд,23
зараж,23
гарб,23
пу,23
втор,22
баг,22
холо,22
хар,22
пред,22
бород,22
друг,22
довол,22
пої,22
опер,22
рихт,22
чав,22
сестр,22
дзюр,22
ласк,22
гомон,22
дич,22
рот,22
чавл,22
ец,22
нуд,22
брик,22
пот,22
драм,22
гал,22
структ,22
рам,22
крам,22
бать,22
сигнал,22
веред,22
ci,22
трен,22
крохмал,22
янт,22
стой,22
ший,22
спорт,22
луж,22
хлип,22
партій,22
те,22
кошл,22
кудл,22
вк,22
наді,22
роч,22
орієнт,22
зад,22
поет,22
герман,22
тавр,22
сторож,22
кіл,22
квалі,22
яція,22
блок,22
клей,22
яж,22
марин,22
захис,22
писк,22
бунт,22
буб,22
стражд,22
шквар,22
рош,21
клеюва,21
тверез,21
вітамін,21
жд,21
губл,21
резон,21
близ,21
ляск,21
края,21
гум,21
цид,21
від',21
блакит,21
бинт,21
танк,21
ритм,21
романт,21
хиб,21
бров,21
репет,21
дикт,21
тех,21
штук,21
марк,21
aція,21
фібр,21
ладж,21
силік,21
сорб,21
трь,21
лес,21
обід,21
цвір,21
ціан,21
шкодж,21
утюж,21
дніпр,21
ань,21
чад,21
сцен,21
пая,21
патр,21
мй,21
інформ,21
нот,21
такт,21
рим,21
рай,21
ковт,21
драж,21
плем,21
нумер,21
вих,21
поло,21
порох,21
кул,21
ург,21
шлюб,21
кіст,20
раб,20
цен,20
стол,20
солодж,20
компост,20
шерх,20
чан,20
баро,20
сиз,20
стебл,20
спіл,20
тай,20
рин,20
конопл,20
тру,20
слуш,20
шиб,20
фосф,20
гиб,20
зубр,20
крес,20
копч,20
драт,20
езн,20
вощ,20
ват,20
o-,20
оберт,20
полоск,20
ворс,20
мовк,20
їз,20
вус,20
ть,20
вихр,20
мезо,20
систем,20
ил,20
iєв,20
дром,20
надж,20
кримін,20
гром,20
бг,20
меліор,20
перч,20
мл,20
гніт,20
овоч,20
гальм,20
флот,20
жах,20
літр,20
шахт,20
обов'яз,20
eпi,20
трут,20
барвл,20
цід,20
баз,20
мрія,20
иш,20
нy,20
рип,20
клеї,19
фас,19
ворон,19
дуд,19
єдин,19
їх,19
йня,19
купор,19
насінн,19
уроч,19
брон,19
соромл,19
стриж,19
практ,19
бистр,19
корект,19
чест,19
мандр,19
грюк,19
блук,19
сіс,19
трактор,19
aвia,19
строк,19
яс,19
нур,19
зна-,19
хвіст,19
інд,19
бомб,19
черв,19
соціал-,19
природ,19
криж,19
icть,19
колес,19
крем,19
літерат,19
шепт,19
надій,19
вулкан,19
сер,19
плант,19
гач,19
инк,19
язич,19
виш,19
мейстер,19
солов,19
контроль,19
зрад,19
регот,19
латин,19
ой,19
піль,18
пролетар,18
сімей,18
інструмент,18
пурх,18
івниц,18
базар,18
лав,18
мільйон,18
консерв,18
чек,18
ція,18
лик,18
кокс,18
полір,18
америк,18
діє,18
корис,18
перез,18
борт,18
прото,18
шуг,18
сукн,18
гаш,18
ірж,18
стоюва,18
карл,18
оє,18
вдов,18
пліск,18
пльов,18
особ,18
едн,18
адрес,18
гност,18
лун,18
франц,18
жим,18
лок,18
полк,18
гроз,18
верз,18
бой,18
ою,18
циб,18
черств,18
помин,18
порс,18
жн,18
хвач,18
ката,18
піск,18
грош,18
пневм,18
штамп,18
баланс,18
гнізд,18
гем,18
стоп,18
багач,18
окс,18
чепл,18
антропо,18
передж,18
удар,18
хат,18
бурл,18
лже,18
фігур,18
смак,18
ел,18
свяч,18
сипл,18
вапн,18
сюр,18
фуг,18
iк,18
клін,18
майстр,18
мон,18
лощ,18
інтер,18
iнтep,18
стеб,18
неб,18
ціп,18
готу,18
єм,18
здр,18
планет,18
глав,18
юн,18
каж,18
поп,18
циган,17
шарк,17
дяч,17
байдуж,17
борк,17
гат,17
гроб,17
трях,17
ка,17
слабл,17
дендр,17
мод,17
івник,17
церков,17
вабл,17
пиль,17
бронз,17
пелюст,17
попел,17
щебет,17
ізо,17
клек,17
каламут,17
джер,17
ліж,17
конденс,17
лoг,17
штурх,17
нут,17
мундир,17
сом,17
тх,17
хваст,17
дриг,17
готівл,17
ги,17
бов,17
волог,17
цьк,17
итель,17
дубл,17
взя,17
под,17
ас,17
деклам,17
готівель,17
сяж,17
миш,17
амін,17
унк,17
труч,17
спас,17
морал,17
еств,17
юж,17
трощ,17
палуб,17
клопот,17
азот,17
евт,17
мес,17
селен,17
орто,17
причин,17
паскуд,17
стрек,17
мілітар,17
шіст,17
лая,17
куч,17
студж,17
бич,17
патрон,17
хваль,17
цефал,17
кропл,17
пax,17
реклам,17
сто,17
ництв,17
снаж,17
скріб,17
епі,17
завр,17
смач,17
піш,17
шап,17
шмаг,17
буч,17
буй,17
яйц,17
дров,16
лагід,16
дупл,16
дзвін,16
дзень,16
сеч,16
волокн,16
шах,16
грес,16
щит,16
бурх,16
крих,16
збро,16
в',16
сльоз,16
текст,16
вузл,16
місц,16
вуж,16
цят,16
вечер,16
бадьор,16
чуб,16
громадж,16
під',16
дешев,16
фізіо,16
комір,16
то,16
золоч,16
кальц,16
cyx,16
скирт,16
фаш,16
сіп,16
кож,16
ракет,16
колектив,16
європ,16
гніч,16
цист,16
гамм,16
тетра,16
препар,16
актин,16
франк,16
юд,16
рубл,16
роман,16
конопач,16
клеєн,16
нефр,16
декад,16
лопат,16
весл,16
фасон,16
фальш,16
хорош,16
цвях,16
валент,16
бос,16
ени,16
чаш,16
жв,16
калібр,16
об'єкт,16
мілі,16
театр,16
аналіз,16
майор,16
крич,16
шліхт,16
туг,16
соб,16
гнузд,16
скрег,16
ряс,16
оренд,16
океан,16
істор,16
шаблон,16
дивл,16
сну,16
сок,16
вуд,16
кипят,16
смисл,16
шур,16
арт,16
татар,16
філо,16
тракт,16
скрек,16
короб,16
пліш,16
місь,16
шам,16
тат,16
треб,16
шмар,16
стовбур,16
брунь,16
гiпep,16
гіпс,16
яць,16
лебед,16
плоск,16
пильн,16
навис,16
бесід,16
ж,16
стерег,16
дяк,16
кит,16
ячч,15
силос,15
діалект,15
череп,15
скок,15
жолоб,15
дик,15
термін,15
пив,15
бур'ян,15
кукурудз,15
зов,15
гов,15
кок,15
опт,15
твір,15
комбайн,15
хреб,15
глед,15
скарж,15
септ,15
окул,15
болот,15
крапл,15
цмок,15
вул,15
астен,15
еш,15
лір,15
мінім,15
терн,15
оди,15
сс,15
диск,15
колод,15
екзамен,15
бут,15
пряс,15
прямл,15
доль,15
особл,15
кріо,15
асфальт,15
періз,15
кредит,15
рат,15
сурм,15
маркс,15
голів,15
телеп,15
тьох,15
сатан,15
цюк,15
лоп,15
своє,15
схем,15
гань,15
магніч,15
щіл,15
торч,15
код,15
нац,15
паразит,15
кошт,15
воєн,15
слив,15
фін,15
калат,15
уал,15
день,15
борозн,15
тиньк,15
відь,15
вісім,15
пані,15
дук,15
клейм,15
лоз,15
килим,15
стовп,15
кидь,15
д,15
дої,15
агіт,15
грив,15
жертв,15
цік,15
ap,15
реєстр,15
рюм,15
компон,15
бл,15
варт,15
івель,15
букв,15
в'юч,15
поліц,15
мурз,15
берег,15
пілл,15
предмет,15
ліквід,15
рідж,15
екран,14
ярус,14
ницьк,14
шиш,14
муштр,14
орл,14
лекс,14
соціал,14
тюп,14
іл,14
иом,14
фураж,14
шіпт,14
брьох,14
буш,14
секунд,14
реал,14
публік,14
плеч,14
мозол,14
формл,14
коопер,14
піт,14
йод,14
вікон,14
щогл,14
нейр,14
бус,14
рекоменд,14
галуз,14
сибір,14
ляв,14
еб,14
пiв,14
жмур,14
товп,14
тіст,14
їк,14
тривож,14
товч,14
хир,14
пояс,14
полос,14
стеріг,14
копирс,14
крої,14
тетер,14
отаман,14
oт,14
книж,14
покут,14
ведмед,14
глот,14
стиль,14
вигід,14
гущ,14
вечор,14
ленін,14
нит,14
союз,14
колір,14
пруд,14
риг,14
рек,14
удов,14
корон,14
комун,14
гіпер,14
крин,14
голомш,14
русь,14
інкуб,14
рафін,14
гапт,14
кря,14
схід,14
ботан,14
чавун,14
щул,14
собач,14
скит,14
зараз,14
горох,14
міцет,14
x,14
іон,14
щедр,14
шварт,14
репорт,14
снащ,14
хін,14
чай,14
кая,14
алюмін,14
стовб,14
пуп,14
йд,14
етил,14
сліпл,14
брід,14
брес,14
увач,14
персон,14
стріль,14
естет,14
полов,14
жил,14
талан,14
черг,14
понад,14
ліні,14
жевр,14
кульг,14
сріб,14
ядер,14
ватер,14
пломб,14
вож,14
сорок,14
протест,14
плодж,14
бан,14
каш,14
лінія,14
куркул,14
мерх,14
коли,14
сперм,13
пропаг,13
мруж,13
чий,13
газет,13
оркестр,13
докуч,13
провок,13
хур,13
хля,13
лиць,13
гуп,13
банд,13
метеор,13
aцiя,13
симіл,13
суб'єкт,13
бва,13
етн,13
коль,13
вовч,13
гороб,13
вуз,13
глянс,13
здобл,13
онуч,13
писа,13
шелеп,13
символ,13
тепер,13
зіх,13
колоч,13
овк,13
арм,13
через,13
аква,13
церемон,13
ож,13
даль,13
хро,13
лям,13
мавп,13
кровл,13
бляк,13
скарб,13
сокол,13
орг,13
крол,13
круш,13
фронт,13
ям,13
гая,13
степ,13
чотирь,13
бельк,13
лиск,13
вил,13
пй,13
гній,13
фантаз,13
тектон,13
воріт,13
бальзам,13
конспір,13
адміністр,13
дзюб,13
дзелень,13
щет,13
гуз,13
язик,13
сміт,13
базік,13
цві,13
кольор,13
півден,13
культив,13
калор,13
негр,13
штрих,13
табор,13
мель,13
процент,13
poз,13
вольт,13
арешт,13
твар,13
мело,13
мелод,13
маяч,13
експеримент,13
струп,13
шкаруб,13
смуж,13
движ,13
компрес,13
мебл,13
бал,13
тріщ,13
хлист,13
франт,13
артр,13
остео,13
пліч,13
зонд,13
земель,13
декор,13
дефект,13
паскудж,13
пій,13
буржу,13
правед,13
популяр,13
гіро,13
навт,13
фокус,13
мист,13
риж,13
перепел,13
офтальм,13
рид,13
секс,13
бо,13
анн,13
багн,13
щур,13
тар,13
бригад,13
циліндр,13
yp,13
ння,13
тереб,13
драб,13
цап,13
тринь,13
ларинг,12
словян,12
дрен,12
бряк,12
буль,12
тонн,12
олій,12
жу,12
афр,12
корк,12
командир,12
соль,12
нир,12
шабр,12
сіл,12
решет,12
акуст,12
цер,12
лим,12
риц,12
бджол,12
плюг,12
плит,12
молекул,12
редаг,12
снід,12
тижн,12
чир,12
гігро,12
захід,12
гранул,12
рач,12
гуч,12
компенс,12
